title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
I’m Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。	宝鐘マリン	3	10	14	17	others		NoasIGKr7pKxTIb0S_lgOA	NoasIGKr7pKxTIb0S_lgOA	FxIRnxbZ7zToGqeIazr2sg	Z7nwNGD4XN0pLNMt5OHaGA	7J5WOo_exvDDtKqcl7jbzA
Ahoy!! 我ら宝鐘海賊団☆	宝鐘マリン	4	12	15	18	others		gBMEb7Os_pxuTnHCFEg34g	gBMEb7Os_pxuTnHCFEg34g	isMbo3wZKCZPFH5jcPCkMQ	QuUUCGHfcsXnslr_4DQzGg	FFsUajnCUPiaVJMc5DJSHw
美少女無罪♡パイレーツ	宝鐘マリン	2	11	15	17	others		TdB-U7UGz6LUSS7JLVWwRw	TdB-U7UGz6LUSS7JLVWwRw	NzKa8Xc9OQRPNwjSOICrBA	Pftfgtee3CuzHtd0mMusnA	nHoPpNSjwsSMKyp3m0rjEw
幽霊船戦	宝鐘マリン	5	13	16	18	others		tjkf3Xe1SIzuQjxK2B0gWQ	tjkf3Xe1SIzuQjxK2B0gWQ	4MFkKh0V3MK-RkbygM9Shw	wdIfJ962z0gd9PADwJGdVQ	ew0yzV9nG3MR1nJnZ_f6lA
Come to Life	ARM (IOSYS) feat. Nicole Curry	6	13	16	18	bemani		10tsiQgM6u8ayw06YG7CnQ	10tsiQgM6u8ayw06YG7CnQ	427_fGVB3I3ybyKtO7T8cg	g51YM50qu6V8cHdCz34XDw	W3EoHIGadx6Jk5yhQ965Xw
COSMIC V3LOCITY	"BEMANI Sound Team ""Coyaan & KE!JU & ZAQUVA"""	7	14	17	19	bemani		j09H8h04CqOuCriQCXocvA	j09H8h04CqOuCriQCXocvA	t3NmEH5B8H6wd6-A5zGGLA	qfMG58UkiPmokyFY0bNurA	BJyxmXnmltOuZdJ9LzTgtg
SOLAR ECLIPSE	"Yuta Imai Vs. BEMANI Sound Team ""Yvya"""	7	14	17	19	bemani		nx19mxrrV95QQB5pZEpI6Q	nx19mxrrV95QQB5pZEpI6Q	srdj7PKpjAleTSaaGFNsxQ	Jz4_STxeLfbqLexGKb0Vjw	W9ZCRj1r8Eo09QOKsWsEIQ
Imitated Visions	荒谷サトル	6	13	16	18	floor		933bVZf8k-bkvB2aiZlrKg	933bVZf8k-bkvB2aiZlrKg	JsZwrhXZ0M7DNabie1epbg	xkOI8t1XKXISNg2kXxIGYA	5eXYpzbJNMEVj2_9NiaNRw
こどもかくしのアンダーランド	iru feat. 桃寝ちのい	6	13	16	18	floor		NsFMRJZ7eDtXDVbNFG6K-w	NsFMRJZ7eDtXDVbNFG6K-w	Ed1n5V3XQFq9s0wpdtgp9g	KO5pBtlGtnrpMdyJF2wIjw	brX5RueO_fVRDMfcJwiMEA
憧憬のファンファーレ	CHUBAY	6	13	16	18	floor		oFuF11kfIy7k_k7oSHmO_w	oFuF11kfIy7k_k7oSHmO_w	t7GRrEJZGIZRgfnveJ9rqQ	c9yms_l74bgnlkP4d3kQ2A	RTj77wspxvHbS4Lr9Z1WPA
