title	artist	nov	adv	exh	mxm	genre	unlockRaw	indexjk	jknov	jkadv	jkexh	jkmxm
Halloween Is Chaos	RoughSketch feat.北小路ヒスイ	5	11	15	18		처음부터 플레이 할 수 있습니다.	arQfg0MxCXgAh7n2f_nbXg	arQfg0MxCXgAh7n2f_nbXg	RWWZaMujLHQtG5CLQ5NqNw	xrQBl-4mk5WQIDB2KEuleQ	6ffUAAkFz7OGLVOOGfA7YQ
Blossom	Synthion	5	12	16	18		처음부터 플레이 할 수 있습니다.	ulM8TTxvkMGFcfUhcftd2Q	ulM8TTxvkMGFcfUhcftd2Q	pJtXlwCD3bjleaY48Q4YxQ	LKOjlfg-WTYRZ0dTmLDkNg	WLnsqkaasMLEW0cFWtvKuQ
{albus}	かめりあ	6	11	17		bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	-mFmhBIo3kVu8tG02auvzg	-mFmhBIo3kVu8tG02auvzg	AJgxmJuS1Ls8DrKXLXateQ	aiNmHrkEJ6LDPvp3MCTJhg	
Virtual Bit	KAN TAKAHIKO	5	11	17		bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	VHHahQph7by2vtwK1QgXMg	VHHahQph7by2vtwK1QgXMg	6XCwrv3fcp3JjArWVUyG8w	lVFNJFlopXUysGrCNtuxXA	
焔華	movies(moimoi×Xceon×Dai.)	4	11	14	17	bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	ZTReGGhu8MWDPz5otght3Q	ZTReGGhu8MWDPz5otght3Q	n1f0cfJH8x1yeAvLX-Umrg	HYMs4aDUGFUuXsvUxgf8uw	rUmp5B6Kc4poukVXvMXCJw
Empty Backdoor	森羅万象	4	11	14	17	toho,bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	SZeXPar0iOYWoKlIAfFKpQ	SZeXPar0iOYWoKlIAfFKpQ	y8Vwtw53-t4nbfRfB8JmKA	uVQfzw33xC6WTTcy97xukg	5FpYx7gkuPOZ1r7KtKs8Iw
踊るフィーバーロボ	ダニエル&eimy と よしくん	6	11	16		bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	okG4KM0U20bBg4oQParhhg	okG4KM0U20bBg4oQParhhg	kJ51kT924jgngET_ve9ohg	liIAAeJg9BpOxROXUhkC8g	
カジノファイヤーことみちゃん	ARM feat. 山本椛 + Brasscapsule	6	13	16	18	bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	OxQPqXLClfTC_xvxIsktdA	OxQPqXLClfTC_xvxIsktdA	inNZ1J2Ex0Amn1vtRzGSfg	jgYnyyjC_X6SUdcgRL8C1Q	6fkqPOTQulozNS6lWnPOdg
驪駒早鬼は馬並み☆プロテイン	ARM × 狐夢想 feat.ななひら	4	11	14	17	toho,bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	pbreXUGFutghF5z1haI7Iw	pbreXUGFutghF5z1haI7Iw	a_0W0WGtVrzS5D31PoWeVg	dW9bIUtxE7q117r0vSZCWg	MJ0wUolwaqRg_up6tEjhQg
限界突破リザレクション	まろん vs. モリモリあつし feat. ビートまりお	6	13	16	18	toho,bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	8mpvlpy_OWyYSJVR1TBmww	8mpvlpy_OWyYSJVR1TBmww	6jLDukD844i_UEWcCfy82g	Jq9pRqv4LYUvYeIVBCpoZQ	nm_P46wXkIuWTJG0IzNIUA
cobalt	Des-ROW・組スペシアル	5	11	14	17	bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	-NTA-S4xFUSzIgrNPL39GQ	-NTA-S4xFUSzIgrNPL39GQ	94ZagAId2Bwi0n8ObAVIgA	FqBBrUPdgbmQcH04Dq_wsA	rom6P731dhDvJwH_4-kaDQ
Shera	MYUKKE.	5	12	15	18	bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	tqPK_RvgBWhIvcKvgJcBcg	tqPK_RvgBWhIvcKvgJcBcg	N1LF4qEDiIbG7KdDkbRCmg	2KOk2A_Zn8TfIc7RK2lLkw	Joo4AL8G30CzCo3o8BJBwQ
SHOCKER BREAKER	Yu_Asahina	6	13	16	18	bemani	USTA SOUND VOLTEX BEMANI SELECTION 악곡 팩 vol.2	VNZyI2nc3Uqerm8y1X6u8A	VNZyI2nc3Uqerm8y1X6u8A	DGWRoTjnAG4xPhplErk_Ug	aEqxDJs0dW2XHesm3_M9IA	hhf7TKgm4pbsk3h6MfcMpA
